Time[s],CCU_HVPPTargetDutyDr_Perc[%],CCU_HVPPTargetDutyPs_Perc[%],HVPP__CstPwrDr_W[W],HVPP__CstPwrPs_W[W]
49,10,10,52,52
89,10.5,10.5,65,65
116,11,11,85,85
149,11.5,11.5,104,104
178,12,12,124,124
201,12.5,12.5,150,150
236,13,13,163,163
266,13.5,13.5,183,183
294,14,14,202,202
321,14.5,14.5,222,222
354,15,15,242,242
386,15.5,15.5,261,261
412,16,16,281,281
448,16.5,16.5,301,301
477,17,17,320,320
502,17.5,17.5,340,340
534,18,18,360,360
561,18.5,18.5,386,386
597,19,19,399,399
624,19.5,19.5,419,419
656,20,20,438,438
686,20.5,20.5,457,457
711,21,21,483,483
745,21.5,21.5,497,497
771,22,22,516,516
797,22.5,22.5,535,535
840,23,23,555,555
861,23.5,23.5,582,582
895,24,24,595,595
928,24.5,24.5,614,614
949,25,25,634,634
988,25.5,25.5,654,654
1009,26,26,674,674
1043,26.5,26.5,693,693
1080,27,27,713,713
1108,27.5,27.5,727,733
1140,28,28,748,752
1159,28.5,28.5,771,771
1193,29,29,785,785
1225,29.5,29.5,804,804
1246,30,30,824,824
1276,30.5,30.5,845,844
1310,31,31,869,869
1334,31.5,31.5,882,882
1352,32,32,904,904
1380,32.5,32.5,923,923
1401,33,33,941,941
1422,33.5,33.5,961,961
1439,34,34,981,981
1463,34.5,34.5,1001,1001
1482,35,35,1020,1020
1512,35.5,35.5,1040,1039
1527,36,36,1060,1060
1555,36.5,36.5,1080,1080
1579,37,37,1098,1098
1601,37.5,37.5,1117,1118
1630,38,38,1139,1139
1651,38.5,38.5,1158,1158
1681,39,39,1175,1175
1714,39.5,39.5,1193,1193
1725,40,40,1213,1213
1759,40.5,40.5,1236,1233
1786,41,41,1257,1257
1810,41.5,41.5,1271,1271
1844,42,42,1289,1289
1871,42.5,42.5,1314,1314
1887,43,43,1330,1330
1916,43.5,43.5,1350,1350
1928,44,44,1367,1368
1959,44.5,44.5,1387,1386
1971,45,45,1409,1409
1998,45.5,45.5,1428,1428
2023,46,46,1447,1447
2046,46.5,46.5,1466,1464
2059,47,47,1482,1482
2096,47.5,47.5,1505,1505
2115,48,48,1524,1524
2140,48.5,48.5,1544,1545
2172,49,49,1562,1564
2197,49.5,49.5,1574,1588
2224,50,50,1601,1603
2245,50.5,50.5,1625,1625
2257,51,51,1638,1638
2293,51.5,51.5,1660,1660
2328,52,52,1679,1679
2348,52.5,52.5,1697,1696
2378,53,53,1712,1718
2399,53.5,53.5,1737,1735
2420,54,54,1757,1757
2440,54.5,54.5,1770,1770
2475,55,55,1792,1791
2502,55.5,55.5,1815,1822
2518,56,56,1835,1835
2547,56.5,56.5,1851,1851
2573,57,57,1873,1873
2596,57.5,57.5,1896,1896
2626,58,58,1912,1908
2648,58.5,58.5,1927,1928
2675,59,59,1951,1952
2688,59.5,59.5,1968,1968
2725,60,60,1990,1990
2746,60.5,60.5,2003,2004
2770,61,61,2033,2033
2801,61.5,61.5,2049,2043
2829,62,62,2061,2061
2856,62.5,62.5,2085,2089
2878,63,63,2105,2105
2902,63.5,63.5,2122,2121
2949,64,64,2152,2146
2970,64.5,64.5,2170,2170
2985,65,65,2181,2182
3024,65.5,65.5,2197,2198
3043,66,66,2223,2223
3066,66.5,66.5,2236,2242
3104,67,67,2259,2260
3127,67.5,67.5,2281,2281
3159,68,68,2303,2297
3186,68.5,68.5,2314,2314
3219,69,69,2339,2338
3264,69.5,69.5,2350,2349
3299,70,70,2380,2381
3337,70.5,70.5,2394,2395
3386,71,71,2413,2417
3417,71.5,71.5,2433,2439
3457,72,72,2451,2450
3481,72.5,72.5,2476,2476
3555,73,73,2489,2494
3581,73.5,73.5,2514,2513
3646,74,74,2527,2528
3664,74.5,74.5,2550,2550
3740,75,75,2571,2570
3775,75.5,75.5,2583,2591
3819,76,76,2607,2606
3874,76.5,76.5,2627,2628
3927,77,77,2646,2659
4002,77.5,77.5,2669,2668
4031,78,78,2686,2685
4111,78.5,78.5,2703,2703
4189,79,79,2724,2723
4256,79.5,79.5,2744,2743
4351,80,80,2766,2766
4437,80.5,80.5,2780,2782
4533,81,81,2800,2801
4631,81.5,81.5,2814,2821
4734,82,82,2840,2839
4914,82.5,82.5,2862,2862
5022,83,83,2871,2878
5258,83.5,83.5,2902,2903
5443,84,84,2914,2920
5792,84.5,84.5,2933,2932
5970,85,85,2953,2958
6243,85.5,85.5,2966,2979
6602,86,86,2979,2999
6939,86.5,86.5,2989,3016
7298,87,87,2999,3038
7640,87.5,87.5,2991,3045
7669,88,88,2992,3045
7765,88.5,88.5,2987,3046
7845,89,89,2990,3050
7966,89.5,89.5,2988,3054
8022,90,90,2988,3060
