Time[s],L_ATCU_FHPTCDrTrgtDty[%],L_ATCU_FHPTCPassTrgtDty[%],HPTC_DrCnsmptPwr_W[W],HPTC_PassCnsmptPwr_W[W]
42,10,10,50,50
104,10.5,10.5,85,67
148,11,11,102,98
195,11.5,11.5,121,121
216,12,12,139,139
271,12.5,12.5,157,157
329,13,13,180,175
430,13.5,13.5,200,200
462,14,14,228,228
489,14.5,14.5,246,246
531,15,15,264,264
597,15.5,15.5,285,284
618,16,16,311,315
648,16.5,16.5,333,335
678,17,17,354,354
712,17.5,17.5,371,371
771,18,18,398,400
811,18.5,18.5,424,425
841,19,19,442,441
873,19.5,19.5,460,460
943,20,20,488,483
1001,20.5,20.5,503,502
1041,21,21,528,531
1061,21.5,21.5,549,549
1114,22,22,567,567
1171,22.5,22.5,595,595
1214,23,23,612,613
1276,23.5,23.5,641,635
1354,24,24,660,660
1406,24.5,24.5,678,678
1456,25,25,699,701
1520,25.5,25.5,722,716
1599,26,26,740,744
1627,26.5,26.5,765,765
1649,27,27,782,782
1722,27.5,27.5,809,809
1761,28,28,833,827
1784,28.5,28.5,851,853
1802,29,29,871,870
1883,29.5,29.5,889,889
1922,30,30,913,913
1957,30.5,30.5,936,937
1997,31,31,954,954
2027,31.5,31.5,981,981
2042,32,32,1000,1000
2098,32.5,32.5,1022,1024
2138,33,33,1044,1043
2163,33.5,33.5,1067,1067
2205,34,34,1084,1084
2254,34.5,34.5,1109,1107
2292,35,35,1128,1132
2324,35.5,35.5,1151,1151
2347,36,36,1170,1170
2389,36.5,36.5,1201,1198
2414,37,37,1220,1218
2449,37.5,37.5,1237,1238
2495,38,38,1261,1262
2521,38.5,38.5,1280,1283
2554,39,39,1305,1305
2598,39.5,39.5,1324,1326
2618,40,40,1344,1344
2655,40.5,40.5,1371,1371
2686,41,41,1385,1385
2726,41.5,41.5,1413,1410
2753,42,42,1432,1430
2799,42.5,42.5,1455,1453
2816,43,43,1471,1471
2850,43.5,43.5,1494,1493
2936,44,44,1518,1518
2959,44.5,44.5,1539,1539
2992,45,45,1555,1557
3023,45.5,45.5,1584,1586
3052,46,46,1605,1605
3071,46.5,46.5,1623,1623
3113,47,47,1649,1648
3135,47.5,47.5,1668,1668
3165,48,48,1691,1693
3198,48.5,48.5,1709,1709
3235,49,49,1732,1730
3256,49.5,49.5,1757,1758
3272,50,50,1776,1776
3324,50.5,50.5,1803,1801
3351,51,51,1822,1822
3376,51.5,51.5,1842,1840
3411,52,52,1862,1863
3440,52.5,52.5,1888,1882
3471,53,53,1902,1903
3501,53.5,53.5,1926,1925
3529,54,54,1949,1943
3552,54.5,54.5,1973,1975
3589,55,55,1991,1991
3620,55.5,55.5,2013,2011
3658,56,56,2040,2042
3678,56.5,56.5,2055,2055
3708,57,57,2075,2077
3742,57.5,57.5,2104,2098
3770,58,58,2123,2121
3791,58.5,58.5,2141,2141
3828,59,59,2162,2161
3856,59.5,59.5,2187,2182
3884,60,60,2208,2208
3919,60.5,60.5,2227,2227
3955,61,61,2256,2253
3979,61.5,61.5,2270,2272
4013,62,62,2289,2289
4064,62.5,62.5,2325,2325
4157,63,63,2338,2338
4196,63.5,63.5,2357,2359
4228,64,64,2380,2378
4259,64.5,64.5,2403,2399
4275,65,65,2424,2423
4319,65.5,65.5,2442,2442
4343,66,66,2474,2475
4378,66.5,66.5,2492,2491
4395,67,67,2510,2509
4430,67.5,67.5,2531,2529
4454,68,68,2554,2548
4488,68.5,68.5,2574,2574
4545,69,69,2598,2598
4568,69.5,69.5,2623,2616
4597,70,70,2638,2638
4646,70.5,70.5,2660,2658
4671,71,71,2688,2681
4721,71.5,71.5,2701,2703
4748,72,72,2726,2726
4786,72.5,72.5,2749,2750
4824,73,73,2774,2774
4846,73.5,73.5,2790,2792
4923,74,74,2804,2808
4978,74.5,74.5,2832,2828
5058,75,75,2857,2855
5085,75.5,75.5,2875,2873
5142,76,76,2893,2892
5196,76.5,76.5,2921,2920
5287,77,77,2939,2939
5366,77.5,77.5,2955,2954
5449,78,78,2974,2976
5518,78.5,78.5,2992,2996
5584,79,79,3025,3025
5666,79.5,79.5,3035,3035
5748,80,80,3052,3055
5794,80.5,80.5,3072,3072
5932,81,81,3101,3100
6090,81.5,81.5,3136,3136
6216,82,82,3154,3154
6282,82.5,82.5,3169,3169
6411,83,83,3188,3188
6536,83.5,83.5,3207,3208
6683,84,84,3237,3237
6881,84.5,84.5,3265,3269
6931,85,85,3283,3283
7099,85.5,85.5,3300,3300
7282,86,86,3315,3315
7432,86.5,86.5,3352,3352
7727,87,87,3369,3371
7871,87.5,87.5,3390,3388
8165,88,88,3415,3415
8373,88.5,88.5,3431,3431
8760,89,89,3459,3456
9013,89.5,89.5,3480,3480
9213,90,90,3565,3565
