Time[s],L_ATCU_FHPTCPassTrgtDty[%],L_ATCU_FHPTCDrTrgtDty[%],FHPTC_DrCnsmptPwr_W[W],FHPTC_PassCnsmptPwr_W[W]
27,10,10,50,50
78,10.5,10.5,82,67
117,11,11,102,102
141,11.5,11.5,113,120
156,12,12,139,139
186,12.5,12.5,157,157
228,13,13,180,175
246,13.5,13.5,199,199
273,14,14,228,228
288,14.5,14.5,246,246
327,15,15,264,264
369,15.5,15.5,284,285
387,16,16,315,310
411,16.5,16.5,334,335
453,17,17,354,354
483,17.5,17.5,371,377
522,18,18,400,400
552,18.5,18.5,423,425
573,19,19,439,442
597,19.5,19.5,460,460
639,20,20,488,484
681,20.5,20.5,506,503
696,21,21,531,530
738,21.5,21.5,549,548
792,22,22,567,567
831,22.5,22.5,594,590
849,23,23,616,612
888,23.5,23.5,641,632
915,24,24,660,661
960,24.5,24.5,679,679
999,25,25,699,704
1068,25.5,25.5,723,717
1086,26,26,743,738
1146,26.5,26.5,765,765
1209,27,27,782,782
1239,27.5,27.5,811,815
1272,28,28,833,835
1320,28.5,28.5,852,849
1380,29,29,870,870
1419,29.5,29.5,890,890
1482,30,30,915,915
1533,30.5,30.5,939,935
1587,31,31,954,957
1617,31.5,31.5,982,982
1704,32,32,999,999
1734,32.5,32.5,1024,1022
1755,33,33,1042,1040
1791,33.5,33.5,1066,1066
1830,34,34,1088,1084
1851,34.5,34.5,1111,1104
1893,35,35,1132,1128
1902,35.5,35.5,1151,1149
1926,36,36,1170,1170
1962,36.5,36.5,1200,1199
1992,37,37,1218,1219
2004,37.5,37.5,1237,1237
2040,38,38,1266,1267
2067,38.5,38.5,1284,1276
2094,39,39,1305,1304
2130,39.5,39.5,1324,1323
2151,40,40,1347,1343
2178,40.5,40.5,1370,1371
2196,41,41,1385,1385
2229,41.5,41.5,1412,1410
2250,42,42,1434,1429
2271,42.5,42.5,1457,1457
2298,43,43,1472,1471
2328,43.5,43.5,1494,1494
2352,44,44,1519,1517
2376,44.5,44.5,1539,1539
2424,45,45,1561,1559
2484,45.5,45.5,1593,1593
2508,46,46,1603,1603
2535,46.5,46.5,1622,1622
2562,47,47,1653,1642
2592,47.5,47.5,1670,1667
2625,48,48,1691,1691
2661,48.5,48.5,1714,1708
2691,49,49,1733,1730
2727,49.5,49.5,1757,1756
2757,50,50,1775,1775
2796,50.5,50.5,1799,1801
2811,51,51,1822,1821
2877,51.5,51.5,1844,1842
2913,52,52,1861,1862
2958,52.5,52.5,1889,1881
2973,53,53,1904,1896
3012,53.5,53.5,1925,1925
3057,54,54,1949,1943
3093,54.5,54.5,1972,1974
3114,55,55,1991,1991
3150,55.5,55.5,2014,2010
3168,56,56,2040,2034
3192,56.5,56.5,2055,2056
3219,57,57,2075,2074
3246,57.5,57.5,2100,2096
3267,58,58,2120,2118
3285,58.5,58.5,2142,2142
3330,59,59,2162,2163
3357,59.5,59.5,2187,2182
3387,60,60,2210,2208
3411,60.5,60.5,2227,2227
3450,61,61,2253,2254
3480,61.5,61.5,2274,2269
3516,62,62,2289,2289
3555,62.5,62.5,2324,2321
3609,63,63,2340,2340
3666,63.5,63.5,2365,2359
3777,64,64,2380,2376
3867,64.5,64.5,2403,2402
3897,65,65,2423,2423
4005,65.5,65.5,2447,2449
4077,66,66,2472,2465
4158,66.5,66.5,2490,2489
4254,67,67,2508,2508
4302,67.5,67.5,2532,2530
4383,68,68,2557,2552
4464,68.5,68.5,2575,2575
4605,69,69,2599,2602
4674,69.5,69.5,2621,2617
4809,70,70,2643,2643
4896,70.5,70.5,2660,2660
5007,71,71,2686,2683
5088,71.5,71.5,2710,2709
5199,72,72,2729,2728
5289,72.5,72.5,2750,2744
5391,73,73,2775,2774
5487,73.5,73.5,2789,2784
5571,74,74,2810,2814
5640,74.5,74.5,2831,2835
5823,75,75,2859,2859
5901,75.5,75.5,2875,2875
5994,76,76,2893,2893
6075,76.5,76.5,2918,2922
6123,77,77,2941,2938
6183,77.5,77.5,2955,2954
6216,78,78,2975,2975
6306,78.5,78.5,2991,2990
6423,79,79,3023,3023
6480,79.5,79.5,3034,3034
6504,80,80,3051,3055
6540,80.5,80.5,3071,3072
6567,81,81,3079,3087
6588,81.5,81.5,3086,3086
6636,82,82,3124,3124
6717,82.5,82.5,3137,3143
6807,83,83,3172,3172
6870,83.5,83.5,3173,3191
6894,84,84,3176,3193
6918,84.5,84.5,3173,3191
6948,85,85,3174,3192
6984,85.5,85.5,3172,3190
7017,86,86,3173,3190
7050,86.5,86.5,3172,3190
7065,87,87,3173,3191
7095,87.5,87.5,3172,3190
7140,88,88,3173,3190
7164,88.5,88.5,3171,3189
7200,89,89,3173,3191
7230,89.5,89.5,3171,3189
7263,90,90,3171,3189
