Time[s],L_ATCU_FHPTCPassTrgtDty[%],L_ATCU_FHPTCDrTrgtDty[%],FHPTC_DrCnsmptPwr_W[W],FHPTC_PassCnsmptPwr_W[W]
55,10,10,50,50
83,10.5,10.5,68,68
102,11,11,86,86
125,11.5,11.5,104,104
154,12,12,128,136
180,12.5,12.5,154,153
201,13,13,164,172
220,13.5,13.5,190,187
248,14,14,204,207
270,14.5,14.5,223,223
288,15,15,241,241
304,15.5,15.5,259,259
315,16,16,277,277
336,16.5,16.5,295,295
363,17,17,321,321
389,17.5,17.5,343,340
415,18,18,354,355
435,18.5,18.5,377,373
461,19,19,396,399
482,19.5,19.5,417,417
504,20,20,432,432
526,20.5,20.5,450,450
542,21,21,468,468
561,21.5,21.5,486,486
586,22,22,504,504
615,22.5,22.5,527,529
637,23,23,551,554
662,23.5,23.5,565,566
675,24,24,583,582
692,24.5,24.5,606,607
719,25,25,625,625
732,25.5,25.5,639,639
757,26,26,657,657
781,26.5,26.5,684,686
813,27,27,701,698
839,27.5,27.5,712,714
855,28,28,736,734
884,28.5,28.5,753,755
911,29,29,776,776
921,29.5,29.5,794,793
940,30,30,811,812
975,30.5,30.5,829,830
1000,31,31,851,850
1030,31.5,31.5,874,864
1056,32,32,885,886
1076,32.5,32.5,910,908
1101,33,33,925,927
1126,33.5,33.5,945,947
1141,34,34,965,964
1155,34.5,34.5,983,983
1190,35,35,1002,1003
1197,35.5,35.5,1017,1017
1278,36,36,1037,1039
1298,36.5,36.5,1061,1060
1326,37,37,1084,1077
1351,37.5,37.5,1098,1095
1369,38,38,1120,1117
1382,38.5,38.5,1138,1138
1407,39,39,1154,1154
1433,39.5,39.5,1173,1173
1473,40,40,1188,1188
1500,40.5,40.5,1210,1211
1527,41,41,1230,1229
1553,41.5,41.5,1251,1248
1573,42,42,1267,1269
1601,42.5,42.5,1287,1289
1617,43,43,1310,1310
1651,43.5,43.5,1326,1325
1671,44,44,1345,1346
1691,44.5,44.5,1361,1361
1714,45,45,1381,1381
1741,45.5,45.5,1397,1397
1778,46,46,1420,1417
1796,46.5,46.5,1438,1438
1811,47,47,1457,1457
1848,47.5,47.5,1474,1474
1872,48,48,1494,1499
1899,48.5,48.5,1515,1515
1921,49,49,1537,1539
1952,49.5,49.5,1557,1550
1962,50,50,1576,1573
1982,50.5,50.5,1591,1590
2005,51,51,1610,1610
2034,51.5,51.5,1633,1631
2056,52,52,1644,1644
2074,52.5,52.5,1667,1668
2101,53,53,1687,1686
2118,53.5,53.5,1707,1706
2143,54,54,1725,1724
2155,54.5,54.5,1745,1742
2181,55,55,1761,1761
2192,55.5,55.5,1781,1781
2229,56,56,1799,1799
2244,56.5,56.5,1818,1818
2267,57,57,1838,1838
2299,57.5,57.5,1858,1863
2318,58,58,1876,1875
2344,58.5,58.5,1897,1894
2364,59,59,1915,1914
2376,59.5,59.5,1933,1933
2394,60,60,1953,1953
2415,60.5,60.5,1971,1971
2456,61,61,1989,1991
2471,61.5,61.5,2008,2008
2508,62,62,2026,2032
2531,62.5,62.5,2049,2049
2562,63,63,2071,2067
2580,63.5,63.5,2085,2084
2612,64,64,2107,2105
2635,64.5,64.5,2121,2121
2660,65,65,2141,2141
2691,65.5,65.5,2159,2163
2729,66,66,2181,2178
2758,66.5,66.5,2203,2199
2783,67,67,2217,2219
2814,67.5,67.5,2240,2238
2832,68,68,2254,2255
2866,68.5,68.5,2275,2274
2895,69,69,2294,2294
2929,69.5,69.5,2314,2314
2980,70,70,2332,2333
3024,70.5,70.5,2353,2354
3073,71,71,2369,2369
3119,71.5,71.5,2391,2395
3158,72,72,2410,2405
3205,72.5,72.5,2428,2429
3239,73,73,2447,2448
3283,73.5,73.5,2464,2464
3368,74,74,2486,2483
3417,74.5,74.5,2503,2503
3510,75,75,2521,2525
3580,75.5,75.5,2541,2541
3639,76,76,2561,2560
3699,76.5,76.5,2579,2580
3743,77,77,2598,2598
3817,77.5,77.5,2617,2617
3917,78,78,2633,2633
3985,78.5,78.5,2651,2651
4075,79,79,2674,2669
4134,79.5,79.5,2691,2693
4215,80,80,2708,2714
4318,80.5,80.5,2731,2732
4383,81,81,2751,2750
4446,81.5,81.5,2769,2768
4548,82,82,2787,2787
4700,82.5,82.5,2802,2802
4857,83,83,2827,2831
4965,83.5,83.5,2844,2845
5110,84,84,2867,2864
5240,84.5,84.5,2883,2885
5329,85,85,2904,2904
5460,85.5,85.5,2922,2922
5637,86,86,2940,2940
5986,86.5,86.5,2955,2955
6090,87,87,2973,2973
6488,87.5,87.5,2990,2992
6712,88,88,3011,3011
6806,88.5,88.5,3022,3022
6823,89,89,3022,3022
6843,89.5,89.5,3022,3022
6896,90,90,3022,3022
