Time[s],CM_PTCPsTargetDuty[%],CM_PTCDrTargetDuty[%],PTC_ConsumptionDrPwr_W[W],PTC_ConsumptionPsPwr_W[W]
34,10,10,50,50
67,10.5,10.5,63,63
85,11,11,76,76
120,11.5,11.5,94,90
145,12,12,108,109
186,12.5,12.5,119,118
201,13,13,138,137
232,13.5,13.5,147,147
254,14,14,163,160
277,14.5,14.5,175,176
296,15,15,189,187
316,15.5,15.5,203,203
327,16,16,216,216
347,16.5,16.5,229,229
390,17,17,240,240
419,17.5,17.5,253,253
440,18,18,271,271
468,18.5,18.5,282,284
494,19,19,301,300
521,19.5,19.5,309,309
535,20,20,328,328
554,20.5,20.5,342,340
575,21,21,355,355
594,21.5,21.5,366,368
616,22,22,380,381
626,22.5,22.5,393,393
650,23,23,405,405
671,23.5,23.5,421,422
711,24,24,435,433
735,24.5,24.5,449,450
753,25,25,462,466
777,25.5,25.5,474,477
794,26,26,490,492
825,26.5,26.5,506,505
841,27,27,518,518
857,27.5,27.5,532,531
878,28,28,547,547
904,28.5,28.5,560,558
967,29,29,569,569
984,29.5,29.5,587,586
1008,30,30,600,597
1032,30.5,30.5,616,615
1047,31,31,628,628
1063,31.5,31.5,644,643
1080,32,32,658,656
1096,32.5,32.5,669,668
1123,33,33,683,683
1134,33.5,33.5,695,695
1161,34,34,710,710
1192,34.5,34.5,721,721
1218,35,35,740,739
1236,35.5,35.5,752,751
1251,36,36,769,768
1269,36.5,36.5,779,781
1289,37,37,792,795
1311,37.5,37.5,807,807
1322,38,38,820,820
1338,38.5,38.5,834,834
1359,39,39,848,848
1377,39.5,39.5,860,860
1392,40,40,876,875
1421,40.5,40.5,889,885
1439,41,41,903,903
1458,41.5,41.5,913,918
1483,42,42,930,930
1497,42.5,42.5,943,944
1513,43,43,959,959
1530,43.5,43.5,971,972
1554,44,44,984,983
1585,44.5,44.5,997,997
1612,45,45,1010,1010
1627,45.5,45.5,1029,1026
1651,46,46,1039,1043
1669,46.5,46.5,1054,1054
1696,47,47,1067,1067
1708,47.5,47.5,1080,1080
1724,48,48,1094,1094
1748,48.5,48.5,1106,1106
1777,49,49,1123,1128
1797,49.5,49.5,1137,1136
1814,50,50,1154,1151
1826,50.5,50.5,1166,1164
1843,51,51,1176,1178
1865,51.5,51.5,1191,1191
1882,52,52,1205,1205
1907,52.5,52.5,1218,1218
1959,53,53,1229,1229
1977,53.5,53.5,1248,1246
2000,54,54,1260,1259
2021,54.5,54.5,1277,1274
2042,55,55,1287,1288
2052,55.5,55.5,1298,1299
2073,56,56,1315,1316
2096,56.5,56.5,1328,1330
2112,57,57,1343,1343
2132,57.5,57.5,1353,1353
2149,58,58,1370,1372
2191,58.5,58.5,1380,1380
2255,59,59,1394,1394
2273,59.5,59.5,1410,1411
2294,60,60,1425,1423
2307,60.5,60.5,1440,1437
2331,61,61,1453,1450
2349,61.5,61.5,1466,1466
2371,62,62,1479,1479
2392,62.5,62.5,1491,1492
2418,63,63,1506,1506
2438,63.5,63.5,1519,1519
2454,64,64,1534,1535
2477,64.5,64.5,1547,1552
2499,65,65,1565,1564
2522,65.5,65.5,1576,1574
2551,66,66,1589,1590
2582,66.5,66.5,1604,1604
2608,67,67,1616,1612
2623,67.5,67.5,1631,1632
2662,68,68,1642,1642
2686,68.5,68.5,1660,1659
2721,69,69,1673,1671
2746,69.5,69.5,1686,1685
2764,70,70,1697,1699
2791,70.5,70.5,1711,1712
2812,71,71,1728,1724
2834,71.5,71.5,1741,1739
2860,72,72,1755,1755
2906,72.5,72.5,1768,1768
2957,73,73,1784,1785
3027,73.5,73.5,1796,1794
3063,74,74,1807,1807
3242,74.5,74.5,1825,1824
3285,75,75,1836,1840
3300,75.5,75.5,1853,1854
3334,76,76,1864,1861
3371,76.5,76.5,1879,1879
3395,77,77,1892,1891
3442,77.5,77.5,1903,1904
3461,78,78,1920,1920
3550,78.5,78.5,1934,1932
3583,79,79,1944,1949
3617,79.5,79.5,1962,1960
3639,80,80,1977,1975
3675,80.5,80.5,1984,1989
3701,81,81,2000,2001
3716,81.5,81.5,2016,2015
3746,82,82,2028,2028
3819,82.5,82.5,2048,2045
3873,83,83,2054,2054
3936,83.5,83.5,2074,2071
3977,84,84,2085,2079
4027,84.5,84.5,2099,2091
4060,85,85,2113,2116
4102,85.5,85.5,2125,2116
4126,86,86,2140,2114
4163,86.5,86.5,2153,2114
4233,87,87,2164,2114
4260,87.5,87.5,2178,2116
4322,88,88,2198,2115
4392,88.5,88.5,2212,2114
4493,89,89,2213,2114
4495,89.5,89.5,2213,2127
4691,90,90,2213,2114
